City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Lavrentiya,RU,65.5833,-171.0,37.87,91,100,5.17,light rain
150,Randers,DK,56.4667,10.05,75.38,63,6,12.64,clear sky
151,Adrar,MR,20.5022,-10.0711,106.14,7,97,8.19,overcast clouds
152,Santa Maria,BR,-29.6842,-53.8069,63.7,63,0,5.75,clear sky
153,Souillac,MU,-20.5167,57.5167,70.18,68,40,12.66,scattered clouds
154,Husavik,IS,66.0449,-17.3389,69.71,65,24,6.85,few clouds
155,Karpathos,GR,35.507,27.2132,82.36,89,0,35.68,clear sky
156,Kudahuvadhoo,MV,2.6708,72.8944,82.62,74,97,11.68,overcast clouds
157,Sinnamary,GF,5.3833,-52.95,84.96,72,22,10.07,few clouds
158,Norman Wells,CA,65.282,-126.8329,64.44,77,75,0.0,broken clouds
159,Komsomolskiy,UZ,40.4272,71.7189,88.52,29,30,4.61,scattered clouds
160,Rawa Mazowiecka,PL,51.7644,20.2549,73.29,66,98,0.78,overcast clouds
161,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,93.74,32,43,5.61,scattered clouds
162,Puerto Escondido,MX,15.85,-97.0667,88.79,57,24,5.88,few clouds
163,Russell,US,32.3502,-85.1999,87.08,73,40,0.0,scattered clouds
164,Bahia De Caraquez,EC,-0.6,-80.4167,78.98,69,49,7.65,scattered clouds
165,San Patricio,US,28.017,-97.5169,89.02,66,94,2.19,overcast clouds
166,Port Hedland,AU,-20.3167,118.5667,68.05,83,68,9.22,broken clouds
167,Guerrero Negro,MX,27.9769,-114.0611,77.54,60,7,8.1,clear sky
168,Dunedin,NZ,-45.8742,170.5036,41.81,70,0,1.99,clear sky
169,Matara,LK,5.9485,80.5353,78.91,87,99,15.32,light rain
170,Gorontalo,ID,0.5412,123.0595,75.11,93,100,4.03,light rain
171,Caohai,CN,26.8661,104.2841,60.82,95,100,3.69,overcast clouds
172,Hambantota,LK,6.1241,81.1185,81.01,77,100,21.09,overcast clouds
173,Xichang,CN,27.8964,102.2634,67.95,92,97,1.68,overcast clouds
174,Grindavik,IS,63.8424,-22.4338,57.56,100,90,20.71,overcast clouds
175,Pisco,PE,-13.7,-76.2167,63.01,77,90,8.05,overcast clouds
176,Port Hawkesbury,CA,45.6169,-61.3485,65.88,98,90,1.01,heavy intensity rain
177,Hithadhoo,MV,-0.6,73.0833,80.13,80,100,12.62,overcast clouds
178,Camacupa,AO,-12.0167,17.4833,66.85,15,3,4.29,clear sky
179,Shimanovsk,RU,52.0,127.7,73.09,91,45,4.94,scattered clouds
180,Faya,SA,18.3851,42.4509,66.72,88,94,6.91,overcast clouds
181,Manitouwadge,CA,49.1215,-85.8403,66.92,45,99,5.12,overcast clouds
182,Collie,AU,-33.3667,116.15,52.99,88,100,9.06,overcast clouds
183,Panjakent,TJ,39.4952,67.6093,80.4,26,11,4.18,few clouds
184,Longyearbyen,SJ,78.2186,15.6401,49.84,62,75,14.97,broken clouds
185,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,100,90,16.11,fog
186,Fortuna,US,40.5982,-124.1573,57.65,94,90,6.91,overcast clouds
187,Blagoyevo,RU,63.3667,47.9167,58.44,50,88,3.85,overcast clouds
188,Kirillov,RU,59.863,38.3813,66.13,75,97,7.92,overcast clouds
189,Derzhavinsk,KZ,51.1,66.3167,77.7,35,0,11.5,clear sky
190,Port Blair,IN,11.6667,92.75,82.27,85,91,20.98,overcast clouds
191,Walvis Bay,NA,-22.9575,14.5053,70.75,32,0,14.97,clear sky
192,Alofi,NU,-19.0595,-169.9187,67.89,94,5,1.14,clear sky
193,Kissimmee,US,28.3047,-81.4167,95.14,62,45,5.59,scattered clouds
194,Kristianstad,SE,56.0313,14.1524,74.35,49,24,10.36,few clouds
195,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,67,57,9.33,broken clouds
196,Gravdal,NO,68.1214,13.5031,49.68,81,75,10.36,broken clouds
